bucket	writing_role	priority	year	venue	title	authors	primary_link	why_relevant_cn	thesis_use_cn	notes
problem-framing-and-critiques	problem	P0	2018	EMNLP	HotpotQA: A Dataset for Diverse, Explainable Multi-hop Question Answering	Zhilin Yang et al.	https://aclanthology.org/D18-1259/	提出带 supporting facts 标注的多跳问答基准，系统定义了跨文档证据聚合与可解释评测。	定义问题	collection=main; anchor paper; fullwiki+distractor
problem-framing-and-critiques	problem	P0	2020	COLING	Constructing A Multi-hop QA Dataset for Comprehensive Evaluation of Reasoning Steps	Xanh Ho et al.	https://aclanthology.org/2020.coling-main.580/	提出 2WikiMultiHopQA，并显式标注 reasoning path 以减少伪多跳样本。	定义问题	collection=main; anchor paper; 2WikiMultiHopQA
problem-framing-and-critiques	problem	P0	2022	TACL	MuSiQue: Multihop Questions via Single-hop Question Composition	Sewon Min et al.	https://direct.mit.edu/tacl/article/doi/10.1162/tacl_a_00475/110996	通过单跳问题组合和过滤构造更难作弊的多跳基准，强调真正的组合式推理。	定义问题	collection=main; anchor paper; compositional benchmark
problem-framing-and-critiques	problem	P0	2019	ACL	Compositional Questions Do Not Necessitate Multi-hop Reasoning	Sewon Min et al.	https://aclanthology.org/P19-1416/	指出很多看似多跳的问题可以被单跳捷径解决，迫使研究者重新关注证据与检索而非表面组合性。	定义问题	collection=main; anchor critique; shortcut risk
problem-framing-and-critiques	problem	P1	2020	EMNLP	IIRC: A Dataset of Incomplete Information Reading Comprehension Questions	James Ferguson et al.	https://aclanthology.org/2020.emnlp-main.86/	构造“当前段落信息不完整、必须跳到链接文档补足”的阅读理解基准。	证明自然链接价值	collection=main; linked-doc setting
problem-framing-and-critiques	problem	P1	2022	arXiv	Multi-Hop Question Answering	Vaibhav Mavi et al.	https://arxiv.org/abs/2204.09140	系统综述多跳问答的定义、数据集、方法家族和评测陷阱。	定义问题	collection=main; survey
dense-and-path-selection-baselines	baseline	P0	2020	ICLR	Learning to Retrieve Reasoning Paths over Wikipedia Graph for Question Answering	Akari Asai et al.	https://openreview.net/forum?id=SJgVHkrYDH	把 Wikipedia 视作图并学习 reasoning path retriever，在查询时顺序选取路径上的页面。	设定基线	collection=main; anchor baseline; graph path retrieval
dense-and-path-selection-baselines	baseline	P0	2021	ICLR	Answering Complex Open-Domain Questions with Multi-Hop Dense Retrieval	Wenhan Xiong et al.	https://openreview.net/forum?id=EMHoBG0avc1	提出 MDR，用多跳 dense retrieval 在无显式链接信息时高效找到支持文档。	设定基线	collection=main; anchor baseline; dense multi-hop
dense-and-path-selection-baselines	baseline	P1	2021	AAAI	HopRetriever: Retrieve Hops over Wikipedia to Answer Complex Questions	Shaobo Li et al.	https://doi.org/10.1609/AAAI.V35I15.17568	显式建模 hop 序列，逐跳扩展证据集合并控制多跳检索过程。	设定基线	collection=main; anchor baseline; hop-level retrieval
dense-and-path-selection-baselines	baseline	P0	2021	SIGIR	Answering Any-hop Open-domain Questions with Iterative Document Reranking	Ping Nie et al.	https://doi.org/10.1145/3404835.3462853	把检索、重排和停止策略统一到 any-hop QA 框架里，强调自适应迭代筛文档。	设定基线	collection=main; anchor baseline; iterative reranking
dense-and-path-selection-baselines	baseline	P1	2019	MRQA Workshop	Simple yet Effective Bridge Reasoning for Open-Domain Multi-Hop Question Answering	Wenhan Xiong et al.	https://aclanthology.org/D19-5806/	通过 bridge reasoner 先识别桥接实体，再据此找到真正的答案段落。	设定基线	collection=main; anchor baseline; bridge reasoning
dense-and-path-selection-baselines	baseline	P1	2019	ACL	Multi-Hop Paragraph Retrieval for Open-Domain Question Answering	Yair Feldman and Ran El-Yaniv	https://aclanthology.org/P19-1222/	提出早期的迭代式段落检索方法，把上一跳证据并入下一跳查询。	设定基线	collection=main; classic baseline
dense-and-path-selection-baselines	baseline	P2	2021	SustaiNLP@EMNLP	Combining Lexical and Dense Retrieval for Computationally Efficient Multi-hop Question Answering	Georgios Sidiropoulos et al.	https://aclanthology.org/2021.sustainlp-1.7/	证明 lexical+dense 混合检索能以更低算力逼近多跳 dense retrieval 的效果。	设定基线	collection=main; efficient hybrid baseline
